m,BRinv,Gh_SM,Ginv_per_lam2,LZ2024,Mdm,Mdm_ref,Mh,Omega,PandaX4T,XENON1T,Xf,lam_planck,n_iter,sSIn,sSIn_per_lam2,sSIp,sSIp_per_lam2,sigmaV
59.255,0.000390501,0.003944140638887181,1.5856536111282,2.447943e-48,59.2550012,59.2550118,125.548349,0.119572524,4.000331e-47,5.855116e-47,23.44191,0.0009857518957628233,2,1.599728e-48,1.646307e-42,1.557348e-48,1.6026929999999998e-42,1.317844e-29
59.5,0.0003063041,0.00394414132125627,1.5309967874372998,2.453677e-48,59.500001,59.5000118,125.548349,0.11922673,4.006895e-47,5.875485e-47,23.36163,0.0008884473226837883,3,1.288581e-48,1.632481e-42,1.254437e-48,1.5892249999999997e-42,1.240774e-29
60.0,0.0001815196,0.00394414147699455,1.4121352300544998,2.465455e-48,60.0000008,60.0000117,125.548349,0.119874053,4.021821e-47,5.917062e-47,23.24741,0.0007120965700953015,4,8.137629e-49,1.604796e-42,7.921917e-49,1.562257e-42,1.118793e-29
60.5,0.000106642,0.0039441409442001,1.281160557999,2.477326e-48,60.5000007,60.5000116,125.548349,0.119054127,4.03873e-47,5.958646e-47,23.08863,0.0005730087361214757,3,5.180547e-49,1.577804e-42,5.043165e-49,1.535962e-42,1.087632e-29
61.0,0.0,0.00394414062173978,1.1338837826022,2.489283e-48,61.0000005,61.0000115,125.548349,0.119911239,4.05754e-47,6.000234e-47,22.86838,0.0004577033915339062,4,3.250234e-49,1.5514799999999998e-42,3.164008e-49,1.5103209999999998e-42,1.151951e-29
61.5,0.0,0.003944140749419779,0.9628525058021998,2.501322e-48,61.5000004,61.5000114,125.548349,0.119284341,4.07817e-47,6.041824e-47,22.59811,0.0003661207727028614,3,2.045256e-49,1.5258039999999998e-42,1.990976e-49,1.48531e-42,1.445796e-29
62.0,0.0,0.00394414094834368,0.7520305165632,2.513434e-48,62.0000003,62.0000113,125.548349,0.11962554,4.100538e-47,6.083413e-47,22.19687,0.0002870882390549209,3,1.236918e-49,1.500755e-42,1.204077e-49,1.46091e-42,2.439813e-29
62.5,0.0,0.00394414127790624,0.4484272209376,2.525616e-48,62.5000002,62.5000112,125.548349,0.119882378,4.124958e-47,6.124997e-47,21.39357,0.00021747304305810622,3,6.982151e-50,1.4763119999999998e-42,6.7967e-50,1.4371e-42,1.132684e-28
63.0,0.0,0.003944141,0.0,2.53786e-48,63.0000069,63.0000111,125.548349,0.120109598,4.152483e-47,6.166576e-47,21.27595,0.0062015014298661885,3,5.585948e-47,1.452457e-42,5.437524e-47,1.4138629999999999e-42,1.379392e-25
63.5,0.0,0.003944141,0.0,2.55016e-48,63.5000147,63.500011,125.548349,0.12035429,4.182555e-47,6.208147e-47,21.73857,0.013305192986287679,3,2.530032e-46,1.429169e-42,2.462781e-46,1.39118e-42,6.256493e-26
64.0,0.0,0.003944141,0.0,2.562513e-48,64.0000211,64.0000109,125.548349,0.120577897,4.214477e-47,6.249706e-47,21.93479,0.01926140365497783,3,5.217888e-46,1.4064329999999999e-42,5.079138e-46,1.369034e-42,4.686682e-26
64.5,0.0,0.003944141,0.0,2.574911e-48,64.5000268,64.5000109,125.548349,0.120771704,4.247551e-47,6.291252e-47,22.01374,0.02469892214841135,3,8.444307e-46,1.38423e-42,8.219679e-46,1.3474079999999999e-42,3.970273e-26
65.0,0.0,0.003944141,0.0,2.587351e-48,65.0000321,65.0000108,125.548349,0.120947365,4.281081e-47,6.332783e-47,22.10134,0.029788531083325315,3,1.209062e-45,1.3625439999999999e-42,1.176887e-45,1.326285e-42,3.551583e-26
